,CIN,Name,Industry,Sector,Headquarters,Founded,Notes,link,Type,Industry.1,Founded.1,Headquarters.1,Key people,Services,Revenue,Operating income,Net income,Total assets,Total equity,Website,Number of employees,Traded as,Parent,Products,Area served,Founder,Owner,Subsidiaries,ISIN,Year,Revenue.1,CIN.1,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members,Authorised Capital,Paid up capital,Date of Last Annual General Meeting,Date of Latest Balance Sheet,Description
55,L63011DL1988GOI030915,Container Corporation of India,Industrials,Marine transportation,New Delhi,1988,Cargo/shipping,https://en.wikipedia.org/wiki/Container_Corporation_of_India,Subsidiary of Indian Railways,Transport,Mar-88,"New Delhi, India","V. Kalyana Rama
(Chairman & Managing Director)",,"₹6,473.79 crore (US$850 million) (2020)[1]",₹523.96 crore (US$69 million) (2020)[1],₹375.78 crore (US$49 million) (2020)[1],"₹11,566.78 crore (US$1.5 billion) (2020)[2]","₹10,064.74 crore (US$1.3 billion) (2020)[2]",concorindia.co.in,"1,464 (March 2019) [2]","NSE: CONCOR
BSE: 531344",,"Terminals
Intermodal",,,"Indian Railways
(Ministry of Railways, Government of India)","CONCOR Air Limited
Fresh and Healthy Enterprise Limited
Punjab Logistics Infrastructure Limited
SIDCUL CONCOR Infra Company Limited",,,,L63011DL1988GOI030915,CONTAINER CORPORATION OF INDIA LIMITED,Active,RoC-Delhi,30915.0,Company limited by Shares,Union Govt company,Public,10 March 1988,"34 years, 0 month, 29 days",Supporting and auxiliary transport activities; activities of travel agencies,-,"₹4,000,000,000","₹3,046,471,680",29 September 2020,31 March 2020,"Container Corporation Of India Limited is a Public incorporated on 10 March 1988. It is classified as Union Govt company and is registered at Registrar of Companies, Delhi. Its authorized share capital is Rs. 4,000,000,000 and its paid up capital is Rs. 3,046,471,680. It is inolved in Supporting and auxiliary transport activities; activities of travel agencies

Container Corporation Of India Limited's Annual General Meeting (AGM) was last held on 29 September 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Container Corporation Of India Limited are Sanjay Swarup, Vennelakanti Kalyana Rama, Rajesh Argal, Manoj Kumar Dubey, .

Container Corporation Of India Limited's Corporate Identification Number is (CIN) L63011DL1988GOI030915 and its registration number is 30915.Its Email address is investorrelations@concorindia.com and its registered address is CONCOR BHAWANC-3 MATHURA ROAD OPPOSITE APOLLO HOSPITAL NEW DELHI DL 110044 IN , - , .

Current status of Container Corporation Of India Limited is - Active.

"
56,L24120TG1961PLC000892,Coromandel International,Basic materials,Specialty chemicals,Hyderabad,1960,"Fertilizers, pesticides",https://en.wikipedia.org/wiki/Coromandel_International,Public,,,"Hyderabad, Telangana, India",,,"₹13,176.73 crore (US$1.7 billion) [1] (2020)","₹1,377.73 crore (US$180 million) [1] (2020)","₹1,065.04 crore (US$140 million) [1] (2020)","₹10,148.77 crore (US$1.3 billion) [2] (2020)","₹4,317.70 crore (US$570 million) [2] (2020)",coromandel.biz,,"BSE: 506395
NSE: COROMANDEL","Murugappa Group, EID Parry",,,,,,INE169A01031,,,L24120TG1961PLC000892,COROMANDEL INTERNATIONAL LIMITED,Active,RoC-Hyderabad,892.0,Company limited by Shares,Non-govt company,Public,16 October 1961,"60 years, 5 month, 23 days",Manufacture of basic chemicals,-,"₹400,000,000","₹293,496,416",26 July 2021,31 March 2021,"Coromandel International Limited is a Public incorporated on 16 October 1961. It is classified as Non-govt company and is registered at Registrar of Companies, Hyderabad. Its authorized share capital is Rs. 400,000,000 and its paid up capital is Rs. 293,496,416. It is inolved in Manufacture of basic chemicals

Coromandel International Limited's Annual General Meeting (AGM) was last held on 26 July 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Coromandel International Limited are Nagarajan Ramamurthy, Sudarshan Venu, Arun Alagappan, Aruna Bhagwan Advani, Sameer Goel, Sumit Bose, Prasad Chandran, Vellayan Arunachalam, Murugappan Muthiah Venkatachalam, Ramesh K B Menon, Karat Venugopal Parameshwar, .

Coromandel International Limited's Corporate Identification Number is (CIN) L24120TG1961PLC000892 and its registration number is 892.Its Email address is investorsgrievance@coromandel.murugappa.com and its registered address is 1-2-10, SARDAR PATEL ROAD,SECUNDERABAD HYDERABAD ANDHRA PRADESH TG 500003 IN , - , .

Current status of Coromandel International Limited is - Active.

"
57,L31900MH2015PLC262254,Crompton Greaves,Utilities,Conventional electricity,Mumbai,1878,Electrical distribution,https://en.wikipedia.org/wiki/Crompton_Greaves,Public,Consumer electronics,1937,"Mumbai, India","Shantanu Khosla (MD), Mathew Job (CEO),[1] Sandeep Batra (CFO)[2]",,,,,,,www.crompton.co.in,,"BSE: 539876
NSE: CROMPTON",,Consumer electronics,,,,,INE299U01018,,,L31900MH2015PLC262254,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,Active,RoC-Mumbai,262254.0,Company limited by Shares,Non-govt company,Public,25 February 2015,"7 years, 1 month, 11 days",Manufacture of other electrical equip ment n.e.c.,-,"₹1,310,000,000","₹1,255,502,080",24 July 2020,31 March 2020,"Crompton Greaves Consumer Electricals Limited is a Public incorporated on 25 February 2015. It is classified as Non-govt company and is registered at Registrar of Companies, Mumbai. Its authorized share capital is Rs. 1,310,000,000 and its paid up capital is Rs. 1,255,502,080. It is inolved in Manufacture of other electrical equip ment n.e.c.

Crompton Greaves Consumer Electricals Limited's Annual General Meeting (AGM) was last held on 24 July 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Crompton Greaves Consumer Electricals Limited are Hemant Nerurkar Madhusudan, Smita Anand, Shantanu Maharaj Khosla, Mathew Job, Prathivadibhayankara Rajagopalan Ramesh, Hiroo Mirchandani, Pangulury Mohan Murty, Sundaram Damodarannair, Promeet Promode Ghosh, .

Crompton Greaves Consumer Electricals Limited's Corporate Identification Number is (CIN) L31900MH2015PLC262254 and its registration number is 262254.Its Email address is pragya.kaul@crompton.co.in and its registered address is Tower 3, 1st Floor, East Wing, Equinox Business Park, LBS Marg, Kurla (West), Mumbai Mumbai City MH 400070 IN , - , .

Current status of Crompton Greaves Consumer Electricals Limited is - Active.

"
58,L72200TG1991PLC013134,Cyient,Technology,Software & IT services,Hyderabad,1991,"Engineering outsourcing services, software management & technology consulting",https://en.wikipedia.org/wiki/Cyient,Public,Conglomerate,1991; 31 years ago,"Hyderabad, India",,,"₹4,069.4 crore (US$530 million) (FY 2018)",,,,,www.cyient.com,"10,000+ (2018)","BSE: 532175
NSE: CYIENT",,,Worldwide,B. V. R. Mohan Reddy,,,INE136B01020,,,L72200TG1991PLC013134,CYIENT LIMITED,Active,RoC-Hyderabad,13134.0,Company limited by Shares,Non-govt company,Public,28 August 1991,"30 years, 7 month, 11 days","Software publishing, consultancy and supply [Software publishing includes production, supply and documentation of ready-made (non-customized) software, operating systems software, business & other applications software, computer games software for all platforms. Consultancy includes providing the best solution in the form of custom software after analyzing the user?s needs and problems. Custom software also includes made-to-order software based on orders from specific users. Also, included are writing of software of any kind following directives of the users; software maintenance, web-page design].",-,"₹1,400,000,000","₹550,505,020",31 July 2020,31 March 2020,"Cyient Limited is a Public incorporated on 28 August 1991. It is classified as Non-govt company and is registered at Registrar of Companies, Hyderabad. Its authorized share capital is Rs. 1,400,000,000 and its paid up capital is Rs. 550,505,020. It is inolved in Software publishing, consultancy and supply [Software publishing includes production, supply and documentation of ready-made (non-customized) software, operating systems software, business & other applications software, computer games software for all platforms. Consultancy includes providing the best solution in the form of custom software after analyzing the user?s needs and problems. Custom software also includes made-to-order software based on orders from specific users. Also, included are writing of software of any kind following directives of the users; software maintenance, web-page design].

Cyient Limited's Annual General Meeting (AGM) was last held on 31 July 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Cyient Limited are Ajay Aggarwal, Venkat Rama Mohan Reddy Bodanapu, Karthikeyan Natarajan, Matangi Gowrishankar, Bodanapu Ganesh Venkat Krishna, Vikas Sehgal, Vivek Narayan Gour, Muthiah Murugappan Murugappan, Alain A De Taeye, Ramesh Abhishek, Vinai Kumar Thummalapally, .

Cyient Limited's Corporate Identification Number is (CIN) L72200TG1991PLC013134 and its registration number is 13134.Its Email address is company.secretary@cyient.com and its registered address is 4TH FLOOR,'A' WING,PLOT NO.11,SOFTWARE UNITSLAYOUT INFOCITY,MADHAPUR HYDERABAD TG 500081 IN , - , .

Current status of Cyient Limited is - Active.

"
59,L24230DL1975PLC007908,Dabur,Health care,Pharmaceuticals,Ghaziabad,1884,Alternative medicines,https://en.wikipedia.org/wiki/Dabur,Public,Consumer goods,1884; 138 years ago,"Ghaziabad, Uttar Pradesh, India","Amit Burman
(Chairman)
Mohit Malhotra
(CEO)",,"₹8,989 crore (US$1.2 billion) (2020)[1]","₹1,827 crore (US$240 million) (2020)[1]","₹1,444 crore (US$190 million) (2020)[1]","₹9,354 crore (US$1.2 billion) (2020)[1]",,www.dabur.com,"7,740 (March 2020)[1]","BSE: 500096
NSE: DABUR",,"Personal care
Skin care
Hair care
Oral hygiene
Health supplements
Drinks",Worldwide,S. K. Burman,,"Dabur Research Foundation
Aviva India
H&B Stores Ltd",INE016A01026,,,L24230DL1975PLC007908,DABUR INDIA LIMITED,Active,RoC-Delhi,7908.0,Company limited by Shares,Non-govt company,Public,16 September 1975,"46 years, 6 month, 22 days",Manufacture of other chemical products,-,"₹2,070,000,000","₹1,767,856,510",19 August 2021,31 March 2021,"Dabur India Limited is a Public incorporated on 16 September 1975. It is classified as Non-govt company and is registered at Registrar of Companies, Delhi. Its authorized share capital is Rs. 2,070,000,000 and its paid up capital is Rs. 1,767,856,510. It is inolved in Manufacture of other chemical products

Dabur India Limited's Annual General Meeting (AGM) was last held on 19 August 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Dabur India Limited are Amit Burman, Subbaraman Narayan, Mukesh Hari Butani, Ravindra Chandra Bhargava, Mohit Burman, Pattamadai Natarajasarma Vijay, Ajit Mohan Sharan, Rajiv Mehrishi, Falguni Sanjay Nayar, Pritam Das Narang, Aditya Chand Burman, Saket Burman, Mohit Malhotra, Ajay Kumar Dua, .

Dabur India Limited's Corporate Identification Number is (CIN) L24230DL1975PLC007908 and its registration number is 7908.Its Email address is investors@dabur.com and its registered address is 8/3 ASAF ALI ROAD NEW DELHI DL 110002 IN , - , .

Current status of Dabur India Limited is - Active.

"
60,U26921WB1961PTC025279,Damodar Valley Corporation,Utilities,Conventional electricity,Kolkata,1948,Power,https://en.wikipedia.org/wiki/Damodar_Valley_Corporation,Statutory Corporation,Utilities (energy),7 July 1948; 73 years ago,"Kolkata, West Bengal, India","Shri Ram Naresh Singh
(Chairman)","Electricity generation and Transmission, distribution, production, Soil conservation Flood Moderation",,,,,,www.dvc.gov.in,6078 (2022),,,Electricity,,,,,,,,U26921WB1961PTC025279,DAMODAR VALLEY REFRACTORIES PVT LTD,Strike Off,RoC-Kolkata,25279.0,Company limited by Shares,Non-govt company,Private,09 October 1961,"60 years, 5 month, 30 days",Manufacture of non-metallic mineral products n.e.c.,-,"₹2,500,000","₹1,000",,,"Damodar Valley Refractories Pvt Ltd is a Private incorporated on 09 October 1961. It is classified as Non-govt company and is registered at Registrar of Companies, Kolkata. Its authorized share capital is Rs. 2,500,000 and its paid up capital is Rs. 1,000. It is inolved in Manufacture of non-metallic mineral products n.e.c.

Damodar Valley Refractories Pvt Ltd's Annual General Meeting (AGM) was last held on N/A and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on N/A.

Damodar Valley Refractories Pvt Ltd's Corporate Identification Number is (CIN) U26921WB1961PTC025279 and its registration number is 25279.Its Email address is and its registered address is 29 ATERLOO STREET KOLKATA WB 700001 IN , - , .

Current status of Damodar Valley Refractories Pvt Ltd is - Strike Off.

"
61,U74140MH1975PLC018439,Datamatics,Technology,Software,Mumbai,1987,"Software, BPO",https://en.wikipedia.org/wiki/Datamatics,Public,"IT services, IT consulting",1975,"Mumbai, Maharashtra, India",Rahul Kanodia (Vice Chairman & CEO)[1],"IT
Outsourcing
Business process outsourcing
Software","₹1,133.5 crore (US$150 million)(2019)[2]",,,,,www.datamatics.com,"10,000+","BSE: 532528
NSE: DATAMATICS",Delta Infosolutions Private Limited,,Worldwide,Dr. Lalit.S.Kanodia (Chairman),,"Cybercom Datamatics Information Solutions Limited
Lumina Datamatics Limited[3]
Datamatics Vista Info Systems Limited[4]
LDR eRetail Limited (w.e.f 12 August 2015)
LD Publishing & eRetail Limited (w.e.f 26 October 2015)[5]
Datamatics Robotics Software Inc[6]
Datamatics Digital Ltd (formerly TechJini)[7]
Mumbai Metro Rail Project Automated Ticketing System[8]",,,,U74140MH1975PLC018439,DATAMATICS LIMITED,Amalgamated,RoC-Mumbai,18439.0,Company limited by Shares,Non-govt company,Public,18 July 1975,"46 years, 8 month, 21 days","Legal, accounting, book-keeping and auditing activities; tax consultancy; market research and public opinion polling; business and management consultancy",-,"₹350,000,000","₹175,000,000",22 September 2008,31 March 2008,"Datamatics Limited is a Public incorporated on 18 July 1975. It is classified as Non-govt company and is registered at Registrar of Companies, Mumbai. Its authorized share capital is Rs. 350,000,000 and its paid up capital is Rs. 175,000,000. It is inolved in Legal, accounting, book-keeping and auditing activities; tax consultancy; market research and public opinion polling; business and management consultancy

Datamatics Limited's Annual General Meeting (AGM) was last held on 22 September 2008 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2008.

Directors of Datamatics Limited are Subhash Bhatia, Lalit Surajmal Kanodia, Rahul Lalit Kanodia, Mahabir Prasad Gupta and .

Datamatics Limited's Corporate Identification Number is (CIN) U74140MH1975PLC018439 and its registration number is 18439.Its Email address is mca1234@gmail.com and its registered address is UNIT NO.189, SDF VI,SEEPZ, ANDHERI (EAST) MUMBAI MH 400096 IN , - , .

Current status of Datamatics Limited is - Amalgamated.

"
62,U63033KA2007PTC042858,Deccan Charters,Consumer services,Airlines,Bengaluru,1997,Charter airline,https://en.wikipedia.org/wiki/Deccan_Charters,,,1997,"Bengaluru, India",Captain G. R. Gopinath (Managing Director)[2],,,,,,,www.deccanair.com,,,,,,,,,,,,U63033KA2007PTC042858,DECCAN CHARTERS PRIVATE LIMITED,Active,RoC-Bangalore,42858.0,Company limited by Shares,Non-govt company,Private,21 May 2007,"14 years, 10 month, 18 days",Supporting and auxiliary transport activities; activities of travel agencies,-,"₹820,000,000","₹792,739,780",31 December 2020,31 March 2020,"Deccan Charters Private Limited is a Private incorporated on 21 May 2007. It is classified as Non-govt company and is registered at Registrar of Companies, Bangalore. Its authorized share capital is Rs. 820,000,000 and its paid up capital is Rs. 792,739,780. It is inolved in Supporting and auxiliary transport activities; activities of travel agencies

Deccan Charters Private Limited's Annual General Meeting (AGM) was last held on 31 December 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Deccan Charters Private Limited are Shahab Uddin Khan, Sanjay Saihgal, Kokkada Balakrishna Shabaraya, .

Deccan Charters Private Limited's Corporate Identification Number is (CIN) U63033KA2007PTC042858 and its registration number is 42858.Its Email address is cs@deccanair.com and its registered address is Jakkur Aerodrome, Bellary Road Bangalore KA 560064 IN , - , .

Current status of Deccan Charters Private Limited is - Active.

"
63,U74899DL1995GOI068150,Delhi Metro,Consumer services,Travel & tourism,New Delhi,2002,Public rail transportation,https://en.wikipedia.org/wiki/Delhi_Metro,,,,,,,,,,,,,,,,,,,,,,,,U74899DL1995GOI068150,DELHI METRO RAIL CORPORATION LIMITED,Active,RoC-Delhi,68150.0,Company limited by Shares,Union Govt company,Public,03 May 1995,"26 years, 11 month, 5 days",OTHER BUSINESS ACTIVITIES,-,"₹320,000,000,000","₹198,762,496,000",12 November 2020,31 March 2020,"Delhi Metro Rail Corporation Limited is a Public incorporated on 03 May 1995. It is classified as Union Govt company and is registered at Registrar of Companies, Delhi. Its authorized share capital is Rs. 320,000,000,000 and its paid up capital is Rs. 198,762,496,000. It is inolved in OTHER BUSINESS ACTIVITIES

Delhi Metro Rail Corporation Limited's Annual General Meeting (AGM) was last held on 12 November 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Delhi Metro Rail Corporation Limited are Ashok Kumar Garg, Durga Shanker Mishra, .

Delhi Metro Rail Corporation Limited's Corporate Identification Number is (CIN) U74899DL1995GOI068150 and its registration number is 68150.Its Email address is sksakhuja@gmail.com and its registered address is METRO BHAWAN FIRE BRIGADE LANE, BARAKHAMBA ROAD NEW DELHI DL 110001 IN , - , .

Current status of Delhi Metro Rail Corporation Limited is - Active.

"
64,U00899GA1963PLC000005,Dempo,Basic materials,General mining,Panaji,1941,Mining,https://en.wikipedia.org/wiki/Dempo,Private,Conglomerate,1941,"Panaji, Goa","Shrinivas Dempo
(Chairman)",,,,,,,www.dempos.com,,,,,,Vasantrao S. Dempo,,,,,,U00899GA1963PLC000005,DEMPO SONS LIMITED,Amalgamated,RoC-Goa,5.0,Company limited by Shares,Non-govt company,Public,16 August 1963,"58 years, 7 month, 23 days",,-,"₹25,000,000",₹0,,,"Dempo Sons Limited is a Public incorporated on 16 August 1963. It is classified as Non-govt company and is registered at Registrar of Companies, Goa. Its authorized share capital is Rs. 25,000,000 and its paid up capital is Rs. 0.

Dempo Sons Limited's Annual General Meeting (AGM) was last held on N/A and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on N/A.

Dempo Sons Limited's Corporate Identification Number is (CIN) U00899GA1963PLC000005 and its registration number is 5.Its Email address is and its registered address is DEMPO HOUSE,CAMPAL,PANJIM,GOA. GA IN , - , .

Current status of Dempo Sons Limited is - Amalgamated.

"
65,L51909MH1988PLC287553,Dish TV,Consumer services,Broadcasting & entertainment,Noida,2003,Satellite television,https://en.wikipedia.org/wiki/Dish_TV,Public,Satellite television,2 October 2003; 18 years ago,"Sector 16A, Film City, Noida, Uttar Pradesh, India[1]",Jawahar Goel (CMD) Anil Dua (CEO),,"₹3,569 crore (US$470 million) (2020)[2]","₹−1,222 crore (US$−160 million) (2020)[2]","₹−1,654 crore (US$−220 million) (2020)[2]",,,www.dishtv.in,407 (2020)[2],"BSE: 532839
NSE: DISHTV",,"Satellite pay television, pay-per-view, streaming television",,,"Yes Bank (25.63%)
Individual shareholders (24.42%)
Deutsche Bank (6.16%)
Essel Group (5.93%)
Housing Development Finance Corporation(4.73%)
IndusInd Bank Ltd.(3.78%)
L&T Finance (1.95%)
Aditya Birla Sun Life Asset Management (1.59%)","d2h,Zing Digital",INE836F01026,,,L51909MH1988PLC287553,DISH TV INDIA LIMITED,Active,RoC-Mumbai,287553.0,Company limited by Shares,Non-govt company,Public,10 August 1988,"33 years, 7 month, 29 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.],-,"₹6,499,999,700","₹1,841,299,970",30 December 2021,31 March 2021,"Dish Tv India Limited is a Public incorporated on 10 August 1988. It is classified as Non-govt company and is registered at Registrar of Companies, Mumbai. Its authorized share capital is Rs. 6,499,999,700 and its paid up capital is Rs. 1,841,299,970. It is inolved in Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]

Dish Tv India Limited's Annual General Meeting (AGM) was last held on 30 December 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Dish Tv India Limited are Anil Kumar Dua, Jawahar Lal Goel, Rashmi Aggarwal, Bhagwan Das Narang, Ashok Mathai Kurien, Shankar Aggarwal, .

Dish Tv India Limited's Corporate Identification Number is (CIN) L51909MH1988PLC287553 and its registration number is 287553.Its Email address is investor@dishd2h.com and its registered address is Office No. 3/B, 3rd Floor, Goldline Business Centre, Link Road, Malad West, MUMBAI Mumbai City MH 400064 IN , - , .

Current status of Dish Tv India Limited is - Active.

"
66,L70101HR1963PLC002484,DLF,Financials,Real estate holding & development,New Delhi,1946,Developer,https://en.wikipedia.org/wiki/DLF_(company),Public,Real estate,04-Jul-46,"DLF Gateway Tower, Phase - 3, Gurugram, Haryana, India","Kushal Pal Singh
(retd. Chairman)
Rajiv Singh
(Chairman)
Rajeev Talwar
(Co-CEO)
Mohit Gujral
(Co-CEO)",,"₹3,893.48 crore (US$510 million)[1] (2021)",,"₹1,076 crore (US$140 million) (2021)","₹57,229.78 crore (US$7.5 billion) (2021)",,www.dlf.in,"1,608 (excluding hotel business)
(March 2019)","BSE: 532868
NSE: DLF",,"Offices
Apartments
Shopping malls
Hotels
Golf courses
Infrastructure",,Ch. Raghvendra Singh,,,INE271C01023,,,L70101HR1963PLC002484,DLF LIMITED,Active,RoC-Delhi,2484.0,Company limited by Shares,Non-govt company,Public,04 July 1963,"58 years, 9 month, 4 days","Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]",-,"₹10,000,000,000","₹4,950,623,200",31 August 2021,31 March 2021,"Dlf Limited is a Public incorporated on 04 July 1963. It is classified as Non-govt company and is registered at Registrar of Companies, Delhi. Its authorized share capital is Rs. 10,000,000,000 and its paid up capital is Rs. 4,950,623,200. It is inolved in Real estate activities with own or leased property. [This class includes buying, selling, renting and operating of self-owned or leased real estate such as apartment building and dwellings, non-residential buildings, developing and subdividing real estate into lots etc. Also included are development and sale of land and cemetery lots, operating of apartment hotels and residential mobile home sites.(Development on own account involving construction is classified in class 4520).]

Dlf Limited's Annual General Meeting (AGM) was last held on 31 August 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Dlf Limited are Ashok Kumar Tyagi, Ved Kumar Jain, Rajiv Singh, Pramod Bhasin, Savitri Devi Singh, Pia Singh, Vivek Mehra, Gurvirendra Singh Talwar, Devinder Singh, Anushka Singh, Amarjit Singh Minocha, Rajiv Krishan Luthra, Priya Paul, Aditya Singh, .

Dlf Limited's Corporate Identification Number is (CIN) L70101HR1963PLC002484 and its registration number is 2484.Its Email address is corporateaffairs@dlf.in and its registered address is SHOPPING MALL 3RD FLOOR ARJUN MARG,PHASE I DLF CITY GURGAON HARYANA HR 122002 IN , - , .

Current status of Dlf Limited is - Active.

"
67,U24299TG2019PTC132764,Dr. Reddy's Laboratories,Health care,Pharmaceuticals,Hyderabad,1984,Pharma,https://en.wikipedia.org/wiki/Dr._Reddy%27s_Laboratories,Public,Pharmaceuticals,1984 (38 years ago),"Hyderabad; Telangana, India; Princeton, New Jersey, U.S.","G. V. Prasad
(Co-Chairman & MD)
Kallam Satish Reddy (Chairman)
Erez Israeli
(CEO)",,"₹17,460 crore (US$2.3 billion) (2020)[1]","₹1,599 crore (US$210 million) (2020)[1]","₹1,950 crore (US$260 million) (2020)[1]","₹23,156 crore (US$3.0 billion) (2020)[1]","₹15,499 crore (US$2.0 billion) (2020)[1]",www.drreddys.com,"21,650 (March 2020)[1]","NSE: DRREDDY
BSE: 500124
NYSE: RDY
NSE NIFTY 50 Constituent",,"Pharmaceuticals, generic drugs, over-the-counter drugs, vaccines, diagnostics, Biologics",Worldwide,,,,INE089A01023,,,U24299TG2019PTC132764,DR.A.S.V.REDDY LABORATORIES INDIA PRIVATE LIMITED,Active,RoC-Hyderabad,132764.0,Company limited by Shares,Non-govt company,Private,16 May 2019,"2 years, 10 month, 23 days",Manufacture of other chemical products,-,"₹500,000","₹100,000",31 December 2020,31 March 2020,"Dr.a.s.v.reddy Laboratories India Private Limited is a Private incorporated on 16 May 2019. It is classified as Non-govt company and is registered at Registrar of Companies, Hyderabad. Its authorized share capital is Rs. 500,000 and its paid up capital is Rs. 100,000. It is inolved in Manufacture of other chemical products

Dr.a.s.v.reddy Laboratories India Private Limited's Annual General Meeting (AGM) was last held on 31 December 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Dr.a.s.v.reddy Laboratories India Private Limited are Gundam Lakshmi Devi and Gundam Ramesh Reddy.

Dr.a.s.v.reddy Laboratories India Private Limited's Corporate Identification Number is (CIN) U24299TG2019PTC132764 and its registration number is 132764.Its Email address is gunred99gr@gmail.com and its registered address is H.NO.3-5-938/1 NARAYANA GUDA HYDERABAD Hyderabad TG 500029 IN , - , .

Current status of Dr.a.s.v.reddy Laboratories India Private Limited is - Active.

"
68,L50200MP1982PLC002066,Eicher Motors,Industrials,Commercial vehicles & trucks,Gurugram,1948,"Bus, trucks",https://en.wikipedia.org/wiki/Eicher_Motors,Public,Automotive,1948; 74 years ago,"New Delhi, India","S Sandilya (chairman)
Siddhartha Lal (managing director)",,"₹10,667 crore (US$1.4 billion) (2020)[1]","₹2,373.77 crore (US$310 million) (2020)[1]","₹1,827.44 crore (US$240 million) (2020)[1]","₹12,449.72 crore (US$1.6 billion) (2020)[1]","₹9,980.93 crore (US$1.3 billion) (2020)[1]",www.eicher.in,"4,899 (March 2020) [1]","BSE: 505200
NSE: EICHERMOT
NSE NIFTY 50 Constituent",,"Commercial vehicles
Motorcycle",Worldwide,Vikram Lal,Siddhartha Lal (49.28%),"Royal Enfield (India)
Eicher Polaris(50%)
VE Commercial Vehicles Limited(50%)",INE066A01013,,,L50200MP1982PLC002066,EICHER MOTORS LTD.,Not available for efiling,RoC-Gwalior,2066.0,Company limited by Shares,Non-govt company,Public,14 October 1982,"39 years, 5 month, 25 days",Maintenance and repair of motor vehicles [including washing and polishing etc.],-,"₹310,100,000","₹199,980,000",27 July 2002,31 March 2002,"Eicher Motors Ltd. is a Public incorporated on 14 October 1982. It is classified as Non-govt company and is registered at Registrar of Companies, Gwalior. Its authorized share capital is Rs. 310,100,000 and its paid up capital is Rs. 199,980,000. It is inolved in Maintenance and repair of motor vehicles [including washing and polishing etc.]

Eicher Motors Ltd.'s Annual General Meeting (AGM) was last held on 27 July 2002 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2002.

Eicher Motors Ltd.'s Corporate Identification Number is (CIN) L50200MP1982PLC002066 and its registration number is 2066.Its Email address is and its registered address is PLOT NO. 102 INDUSTRIAL AREA NO. 1 PITHAM PUR DEWAS MP 000000 IN , - , .

Current status of Eicher Motors Ltd. is - Not available for efiling.

"
